33,18.828,1266428906,user_group-1,1.005444,,{'LOGIN_TTFB': 0.96899986267089844, 'TRANSFER': 0.031000137329101563, 'LOGIN_TTLB': 1.0}
34,19.453,1266428907,user_group-2,0.973125,,{'LOGIN_TTFB': 0.93699979782104492, 'TRANSFER': 0.031000137329101563, 'LOGIN_TTLB': 0.96799993515014648}
35,19.922,1266428907,user_group-1,1.082173,,{'LOGIN_TTFB': 1.0469999313354492, 'TRANSFER': 0.046999931335449219, 'LOGIN_TTLB': 1.0939998626708984}
36,20.500,1266428908,user_group-2,1.046379,,{'LOGIN_TTFB': 1.0, 'TRANSFER': 0.046999931335449219, 'LOGIN_TTLB': 1.0469999313354492}
37,20.985,1266428908,user_group-1,1.069796,,{'LOGIN_TTFB': 1.0310001373291016, 'TRANSFER': 0.032000064849853516, 'LOGIN_TTLB': 1.0630002021789551}
38,21.485,1266428909,user_group-2,0.990925,,{'LOGIN_TTFB': 0.95300006866455078, 'TRANSFER': 0.032000064849853516, 'LOGIN_TTLB': 0.9850001335144043}
39,21.969,1266428909,user_group-1,0.989103,,{'LOGIN_TTFB': 0.95299983024597168, 'TRANSFER': 0.031000137329101563, 'LOGIN_TTLB': 0.98399996757507324}
40,22.532,1266428910,user_group-2,1.040871,,{'LOGIN_TTFB': 1.0, 'TRANSFER': 0.046999931335449219, 'LOGIN_TTLB': 1.0469999313354492}
41,23.485,1266428911,user_group-1,1.506066,,{'LOGIN_TTFB': 1.4529998302459717, 'TRANSFER': 0.04700016975402832, 'LOGIN_TTLB': 1.5}
42,23.500,1266428911,user_group-2,0.973361,,{'LOGIN_TTFB': 0.93700003623962402, 'TRANSFER': 0.030999898910522461, 'LOGIN_TTLB': 0.96799993515014648}
43,24.547,1266428912,user_group-2,1.047546,,{'LOGIN_TTFB': 1.0160000324249268, 'TRANSFER': 0.030999898910522461, 'LOGIN_TTLB': 1.0469999313354492}
44,24.563,1266428912,user_group-1,1.080699,,{'LOGIN_TTFB': 1.0469999313354492, 'TRANSFER': 0.030999898910522461, 'LOGIN_TTLB': 1.0779998302459717}
45,25.813,1266428913,user_group-1,1.241890,,{'LOGIN_TTFB': 1.2030000686645508, 'TRANSFER': 0.046999931335449219, 'LOGIN_TTLB': 1.25}
46,25.828,1266428913,user_group-1,1.262091,,{'LOGIN_TTFB': 1.2190001010894775, 'TRANSFER': 0.046000003814697266, 'LOGIN_TTLB': 1.2650001049041748}
47,25.828,1266428913,user_group-2,1.257665,,{'LOGIN_TTFB': 1.2190001010894775, 'TRANSFER': 0.046000003814697266, 'LOGIN_TTLB': 1.2650001049041748}
48,25.828,1266428913,user_group-2,1.279675,,{'LOGIN_TTFB': 1.2350001335144043, 'TRANSFER': 0.046000003814697266, 'LOGIN_TTLB': 1.2810001373291016}
49,27.016,1266428914,user_group-2,1.189007,,{'LOGIN_TTFB': 1.1570000648498535, 'TRANSFER': 0.030999898910522461, 'LOGIN_TTLB': 1.187999963760376}
50,27.047,1266428914,user_group-1,1.231507,,{'LOGIN_TTFB': 1.187000036239624, 'TRANSFER': 0.046999931335449219, 'LOGIN_TTLB': 1.2339999675750732}
51,27.047,1266428914,user_group-1,1.225349,,{'LOGIN_TTFB': 1.187999963760376, 'TRANSFER': 0.030999898910522461, 'LOGIN_TTLB': 1.2189998626708984}
52,27.516,1266428915,user_group-2,1.687805,,{'LOGIN_TTFB': 1.6570000648498535, 'TRANSFER': 0.030999898910522461, 'LOGIN_TTLB': 1.687999963760376}
53,28.203,1266428915,user_group-2,1.180666,,{'LOGIN_TTFB': 1.1410000324249268, 'TRANSFER': 0.030999898910522461, 'LOGIN_TTLB': 1.1719999313354492}
54,28.219,1266428915,user_group-1,1.172539,,{'LOGIN_TTFB': 1.1560001373291016, 'TRANSFER': 0.016000032424926758, 'LOGIN_TTLB': 1.1720001697540283}
55,28.250,1266428915,user_group-1,1.204961,,{'LOGIN_TTFB': 1.1720001697540283, 'TRANSFER': 0.030999898910522461, 'LOGIN_TTLB': 1.2030000686645508}
56,28.610,1266428916,user_group-2,1.088514,,{'LOGIN_TTFB': 1.062000036239624, 'TRANSFER': 0.032000064849853516, 'LOGIN_TTLB': 1.0940001010894775}
57,29.360,1266428917,user_group-2,1.166144,,{'LOGIN_TTFB': 1.1410000324249268, 'TRANSFER': 0.016000032424926758, 'LOGIN_TTLB': 1.1570000648498535}
58,29.391,1266428917,user_group-1,1.172887,,{'LOGIN_TTFB': 1.1559998989105225, 'TRANSFER': 0.016000032424926758, 'LOGIN_TTLB': 1.1719999313354492}
59,29.485,1266428917,user_group-1,1.242602,,{'LOGIN_TTFB': 1.2030000686645508, 'TRANSFER': 0.032000064849853516, 'LOGIN_TTLB': 1.2350001335144043}
60,29.735,1266428917,user_group-2,1.126509,,{'LOGIN_TTFB': 1.0929999351501465, 'TRANSFER': 0.032000064849853516, 'LOGIN_TTLB': 1.125}
61,30.453,1266428918,user_group-2,1.094403,,{'LOGIN_TTFB': 1.0779998302459717, 'TRANSFER': 0.015000104904174805, 'LOGIN_TTLB': 1.0929999351501465}
62,30.469,1266428918,user_group-1,1.070311,,{'LOGIN_TTFB': 1.0469999313354492, 'TRANSFER': 0.031000137329101563, 'LOGIN_TTLB': 1.0780000686645508}
63,30.485,1266428918,user_group-1,0.998989,,{'LOGIN_TTFB': 0.98399996757507324, 'TRANSFER': 0.016000032424926758, 'LOGIN_TTLB': 1.0}
64,30.782,1266428918,user_group-2,1.050990,,{'LOGIN_TTFB': 1.0309998989105225, 'TRANSFER': 0.016000032424926758, 'LOGIN_TTLB': 1.0469999313354492}
65,31.469,1266428919,user_group-1,0.977617,,{'LOGIN_TTFB': 0.95299983024597168, 'TRANSFER': 0.031000137329101563, 'LOGIN_TTLB': 0.98399996757507324}
66,31.547,1266428919,user_group-2,1.093045,,{'LOGIN_TTFB': 1.0789999961853027, 'TRANSFER': 0.014999866485595703, 'LOGIN_TTLB': 1.0939998626708984}
67,31.594,1266428919,user_group-1,1.122589,,{'LOGIN_TTFB': 1.0939998626708984, 'TRANSFER': 0.031000137329101563, 'LOGIN_TTLB': 1.125}
68,31.797,1266428919,user_group-2,1.010444,,{'LOGIN_TTFB': 0.98399996757507324, 'TRANSFER': 0.030999898910522461, 'LOGIN_TTLB': 1.0149998664855957}
69,32.438,1266428920,user_group-1,0.968979,,{'LOGIN_TTFB': 0.93799996376037598, 'TRANSFER': 0.030999898910522461, 'LOGIN_TTLB': 0.96899986267089844}
